SessionNumber,DateTime,Device,Assessment,StartTime,StopTime,GameName,TrialDataFileLocation,DeviceSetupLocation,AssistMode,AssistModeParameters,GameParameter,Mechanism,MoveTime
1,11-11-2024 15:40:10,PLUTO,0,11-11-2024 15:40:10,11-11-2024 15:40:31,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-11\Session1\HOC_pingPong_D2024-11-11T15-40-10.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,HOC,2
2,12-11-2024 09:07:31,PLUTO,0,12-11-2024 09:07:31,12-11-2024 09:07:47,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session2\FPS_pingPong_D2024-11-12T09-07-31.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FPS,1
2,12-11-2024 09:07:55,PLUTO,0,12-11-2024 09:07:55,12-11-2024 09:09:12,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session2\FPS_pingPong_D2024-11-12T09-07-55.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FPS,10
3,12-11-2024 09:50:16,PLUTO,0,12-11-2024 09:50:16,12-11-2024 09:50:23,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session3\WURD_pingPong_D2024-11-12T09-50-16.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,WURD,1
3,12-11-2024 09:50:30,PLUTO,0,12-11-2024 09:50:30,12-11-2024 09:51:01,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session3\WURD_pingPong_D2024-11-12T09-50-30.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,WURD,4
3,12-11-2024 09:51:21,PLUTO,0,12-11-2024 09:51:21,12-11-2024 09:51:27,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session3\WFE_pingPong_D2024-11-12T09-51-21.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,WFE,0
3,12-11-2024 09:51:32,PLUTO,0,12-11-2024 09:51:32,12-11-2024 09:52:14,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session3\WFE_pingPong_D2024-11-12T09-51-32.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,WFE,6
3,12-11-2024 09:52:52,PLUTO,0,12-11-2024 09:52:52,12-11-2024 09:53:22,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session3\FME1_pingPong_D2024-11-12T09-52-52.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FME1,5
3,12-11-2024 09:53:26,PLUTO,0,12-11-2024 09:53:26,12-11-2024 09:53:33,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session3\FME1_pingPong_D2024-11-12T09-53-26.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FME1,1
3,12-11-2024 09:53:37,PLUTO,0,12-11-2024 09:53:37,12-11-2024 09:53:50,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session3\FME1_pingPong_D2024-11-12T09-53-37.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FME1,2
3,12-11-2024 09:53:59,PLUTO,0,12-11-2024 09:53:59,12-11-2024 09:54:10,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session3\FME1_pingPong_D2024-11-12T09-53-59.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FME1,1
3,12-11-2024 09:54:17,PLUTO,0,12-11-2024 09:54:17,12-11-2024 09:55:12,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session3\FME1_pingPong_D2024-11-12T09-54-17.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FME1,7
3,12-11-2024 09:55:38,PLUTO,0,12-11-2024 09:55:38,12-11-2024 09:55:58,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session3\FME2_pingPong_D2024-11-12T09-55-38.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FME2,2
3,12-11-2024 09:56:14,PLUTO,0,12-11-2024 09:56:14,12-11-2024 09:56:20,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session3\FME2_pingPong_D2024-11-12T09-56-14.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FME2,1
3,12-11-2024 09:56:49,PLUTO,0,12-11-2024 09:56:49,12-11-2024 09:58:21,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session3\FPS_pingPong_D2024-11-12T09-56-49.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FPS,11
3,12-11-2024 09:59:13,PLUTO,0,12-11-2024 09:59:13,12-11-2024 10:01:20,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session3\HOC_pingPong_D2024-11-12T09-59-13.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,HOC,18
4,12-11-2024 10:04:45,PLUTO,0,12-11-2024 10:04:45,12-11-2024 10:05:44,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session4\HOC_pingPong_D2024-11-12T10-04-45.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,HOC,8
5,12-11-2024 10:11:33,PLUTO,0,12-11-2024 10:11:33,12-11-2024 10:12:09,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session5\HOC_pingPong_D2024-11-12T10-11-33.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,HOC,4
5,12-11-2024 10:13:35,PLUTO,0,12-11-2024 10:13:35,12-11-2024 10:14:14,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session5\WFE_pingPong_D2024-11-12T10-13-35.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,WFE,5
5,12-11-2024 10:14:39,PLUTO,0,12-11-2024 10:14:39,12-11-2024 10:15:02,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session5\WURD_pingPong_D2024-11-12T10-14-39.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,WURD,2
5,12-11-2024 10:15:47,PLUTO,0,12-11-2024 10:15:47,12-11-2024 10:16:59,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session5\FPS_pingPong_D2024-11-12T10-15-47.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FPS,14
5,12-11-2024 10:18:41,PLUTO,0,12-11-2024 10:18:41,12-11-2024 10:19:17,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session5\FME1_pingPong_D2024-11-12T10-18-41.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FME1,6
5,12-11-2024 10:20:49,PLUTO,0,12-11-2024 10:20:49,12-11-2024 10:21:41,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session5\FME1_pingPong_D2024-11-12T10-20-49.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FME1,6
5,12-11-2024 10:22:08,PLUTO,0,12-11-2024 10:22:08,12-11-2024 10:23:05,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session5\FME2_pingPong_D2024-11-12T10-22-08.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FME2,8
6,12-11-2024 10:32:03,PLUTO,0,12-11-2024 10:32:03,12-11-2024 10:33:08,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session6\FME1_pingPong_D2024-11-12T10-32-03.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FME1,7
6,12-11-2024 10:33:14,PLUTO,0,12-11-2024 10:33:14,12-11-2024 10:34:46,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session6\FME1_pingPong_D2024-11-12T10-33-14.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FME1,9
6,12-11-2024 10:34:52,PLUTO,0,12-11-2024 10:34:52,12-11-2024 10:35:17,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session6\FME1_pingPong_D2024-11-12T10-34-52.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FME1,4
6,12-11-2024 10:35:26,PLUTO,0,12-11-2024 10:35:26,12-11-2024 10:36:33,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session6\FME1_pingPong_D2024-11-12T10-35-26.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FME1,9
6,12-11-2024 10:37:19,PLUTO,0,12-11-2024 10:37:19,12-11-2024 10:38:35,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session6\HOC_pingPong_D2024-11-12T10-37-19.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,HOC,11
6,12-11-2024 10:39:23,PLUTO,0,12-11-2024 10:39:23,12-11-2024 10:40:27,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session6\FPS_pingPong_D2024-11-12T10-39-23.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FPS,10
6,12-11-2024 10:41:21,PLUTO,0,12-11-2024 10:41:21,12-11-2024 10:43:32,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session6\WFE_pingPong_D2024-11-12T10-41-21.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,WFE,24
7,16-11-2024 12:14:52,PLUTO,0,16-11-2024 12:14:52,16-11-2024 12:15:37,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-16\Session7\HOC_pingPong_D2024-11-16T12-14-52.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,HOC,5
7,16-11-2024 12:20:11,PLUTO,0,16-11-2024 12:20:11,16-11-2024 12:21:32,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-16\Session7\FPS_pingPong_D2024-11-16T12-20-11.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FPS,10
7,16-11-2024 12:22:55,PLUTO,0,16-11-2024 12:22:55,16-11-2024 12:23:55,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-16\Session7\FPS_pingPong_D2024-11-16T12-22-55.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FPS,2
8,16-11-2024 13:05:26,PLUTO,0,16-11-2024 13:05:26,16-11-2024 13:06:19,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-16\Session8\FME1_pingPong_D2024-11-16T13-05-26.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FME1,6
9,18-11-2024 16:18:36,PLUTO,0,18-11-2024 16:18:36,18-11-2024 16:19:22,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-18\Session9\HOC_pingPong_D2024-11-18T16-18-36.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,HOC,4
10,19-11-2024 14:51:17,PLUTO,0,19-11-2024 14:51:17,19-11-2024 14:51:42,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-19\Session10\FPS_pingPong_D2024-11-19T14-51-17.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FPS,3
11,19-11-2024 17:53:49,PLUTO,0,19-11-2024 17:53:49,19-11-2024 17:54:25,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-19\Session11\FPS_pingPong_D2024-11-19T17-53-49.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FPS,3
12,20-11-2024 13:03:48,PLUTO,0,20-11-2024 13:03:48,20-11-2024 13:04:49,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-20\Session12\HOC_pingPong_D2024-11-20T13-03-48.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,HOC,5
13,20-11-2024 14:45:56,PLUTO,0,20-11-2024 14:45:56,20-11-2024 14:46:45,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-20\Session13\FPS_pingPong_D2024-11-20T14-45-56.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FPS,6
14,20-11-2024 14:57:04,PLUTO,0,20-11-2024 14:57:04,20-11-2024 14:57:45,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-20\Session14\FPS_pingPong_D2024-11-20T14-57-04.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FPS,5
15,20-11-2024 15:03:10,PLUTO,0,20-11-2024 15:03:10,20-11-2024 15:04:10,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-20\Session15\FPS_pingPong_D2024-11-20T15-03-10.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FPS,8
16,20-11-2024 15:08:13,PLUTO,0,20-11-2024 15:08:13,20-11-2024 15:08:38,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-20\Session16\FPS_pingPong_D2024-11-20T15-08-13.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FPS,2
17,22-11-2024 17:44:28,PLUTO,0,22-11-2024 17:44:28,22-11-2024 17:45:00,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-22\Session17\FPS_pingPong_D2024-11-22T17-44-28.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FPS,1
17,22-11-2024 17:49:45,PLUTO,0,22-11-2024 17:49:45,22-11-2024 17:50:05,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-22\Session17\HOC_pingPong_D2024-11-22T17-49-45.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,HOC,0
18,23-11-2024 10:53:10,PLUTO,0,23-11-2024 10:53:10,23-11-2024 10:53:47,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-23\Session18\WURD_pingPong_D2024-11-23T10-53-10.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,WURD,5
19,23-11-2024 10:59:14,PLUTO,0,23-11-2024 10:59:14,23-11-2024 10:59:48,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-23\Session19\FME2_pingPong_D2024-11-23T10-59-14.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FME2,6
19,23-11-2024 11:01:18,PLUTO,0,23-11-2024 11:01:18,23-11-2024 11:01:37,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-23\Session19\FME2_pingPong_D2024-11-23T11-01-18.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FME2,1
20,25-11-2024 10:25:21,PLUTO,0,25-11-2024 10:25:21,25-11-2024 10:26:13,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-25\Session20\HOC_pingPong_D2024-11-25T10-25-21.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,HOC,5
20,25-11-2024 10:26:53,PLUTO,0,25-11-2024 10:26:53,25-11-2024 10:27:12,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-25\Session20\HOC_pingPong_D2024-11-25T10-26-53.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,HOC,1
20,25-11-2024 10:27:20,PLUTO,0,25-11-2024 10:27:20,25-11-2024 10:28:09,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-25\Session20\HOC_pingPong_D2024-11-25T10-27-20.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,HOC,3
21,25-11-2024 10:35:51,PLUTO,0,25-11-2024 10:35:51,25-11-2024 10:37:13,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-25\Session21\HOC_pingPong_D2024-11-25T10-35-51.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,HOC,7
22,25-11-2024 10:43:22,PLUTO,0,25-11-2024 10:43:22,25-11-2024 10:44:20,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-25\Session22\HOC_pingPong_D2024-11-25T10-43-22.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,HOC,5
23,27-11-2024 12:00:31,PLUTO,0,27-11-2024 12:00:31,27-11-2024 12:01:09,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-27\Session23\HOC_pingPong_D2024-11-27T12-00-31.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,HOC,3
23,27-11-2024 12:02:08,PLUTO,0,27-11-2024 12:02:08,27-11-2024 12:03:10,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-27\Session23\HOC_pingPong_D2024-11-27T12-02-08.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,HOC,6
24,28-11-2024 10:49:50,PLUTO,0,28-11-2024 10:49:50,28-11-2024 10:50:04,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-28\Session24\HOC_pingPong_D2024-11-28T10-49-50.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,HOC,1
24,28-11-2024 10:50:12,PLUTO,0,28-11-2024 10:50:57,28-11-2024 10:50:58,TUK-TUK,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-28\Session24\HOC_pingPong_D2024-11-28T10-49-50.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,HOC,1
25,28-11-2024 11:02:42,PLUTO,0,28-11-2024 11:02:42,28-11-2024 11:02:58,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-28\Session25\HOC_pingPong_D2024-11-28T11-02-42.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,HOC,0
25,28-11-2024 11:03:08,PLUTO,0,28-11-2024 11:03:08,28-11-2024 11:04:49,TUK-TUK,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-28\Session25\HOC_tukTuk_D2024-11-28T11-03-08.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,HOC,0
25,28-11-2024 11:04:55,PLUTO,0,28-11-2024 11:04:55,28-11-2024 11:05:01,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-28\Session25\HOC_pingPong_D2024-11-28T11-04-55.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,HOC,0
26,28-11-2024 11:16:50,PLUTO,0,28-11-2024 11:16:50,28-11-2024 11:17:03,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-28\Session26\HOC_pingPong_D2024-11-28T11-16-50.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,HOC,0
26,28-11-2024 11:17:30,PLUTO,0,28-11-2024 11:17:30,28-11-2024 11:19:12,TUK-TUK,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-28\Session26\HOC_tukTuk_D2024-11-28T11-17-30.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,HOC,0
27,28-11-2024 12:04:06,PLUTO,0,28-11-2024 12:04:06,28-11-2024 12:05:15,TUK-TUK,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-28\Session27\HOC_tukTuk_D2024-11-28T12-04-06.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,HOC,0
28,28-11-2024 12:13:01,PLUTO,0,28-11-2024 12:13:01,28-11-2024 12:13:51,TUK-TUK,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-28\Session28\HOC_tukTuk_D2024-11-28T12-13-01.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,HOC,0
29,28-11-2024 12:18:30,PLUTO,0,28-11-2024 12:18:30,28-11-2024 12:18:36,TUK-TUK,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-28\Session29\HOC_tukTuk_D2024-11-28T12-18-30.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,HOC,0
30,28-11-2024 12:26:41,PLUTO,0,28-11-2024 12:26:41,28-11-2024 12:27:33,TUK-TUK,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-28\Session30\HOC_tukTuk_D2024-11-28T12-26-41.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,HOC,0
31,28-11-2024 12:59:20,PLUTO,0,28-11-2024 12:59:20,28-11-2024 13:00:58,HAT-Trick,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-28\Session31\HOC_hatTrick_D2024-11-28T12-59-20.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,HOC,0
